Wall time,Step,Value
1585054255,1232,1.966998816
1585054406,2298,1.775563598
1585054454,2631,1.66844058
1585054542,3264,1.392155051
1585054721,4530,0.96164757
1585054775,4930,0.894255698
1585054809,5163,0.853148401
1585054835,5363,0.821375608
1585054849,5463,0.823582292
1585054876,5663,0.824696839
1585054963,6296,0.752408445
1585054984,6429,0.752404332
1585054997,6529,0.732741952
1585055010,6629,0.749797523
1585055137,7562,0.710986018
1585055224,8195,0.677683234
1585055245,8328,0.660095453
1585055258,8428,0.666733742
1585055272,8528,0.669677675
1585055346,9061,0.667813361
1585055460,9894,0.654368639
1585055561,10627,0.626421392
1585055681,11493,0.589399219
1585055720,11793,0.619670093
1585055734,11893,0.592090428
1585055834,12626,0.582063794
1585055907,13159,0.566264451
1585056028,14025,0.602531433
1585056068,14325,0.578820527
1585056081,14425,0.594104469
1585056215,15391,0.567478657
1585056242,15591,0.567669094
1585056255,15691,0.58644402
1585056375,16557,0.564006686
1585056442,17057,0.592247367
1585056476,17290,0.569460452
1585056489,17390,0.54155004
1585056548,17823,0.549164355
1585056615,18323,0.552230597
1585056635,18456,0.532149196
1585056675,18756,0.547059
1585056762,19389,0.539189279
1585056776,19489,0.550666749
1585056809,19722,0.557401538
1585056850,20022,0.546494722
1585056877,20222,0.540225863
1585056897,20355,0.542535841
1585056951,20755,0.535499334
1585056964,20855,0.530981898
1585057071,21621,0.553319156
1585057185,22454,0.509791553
1585057198,22554,0.510175526
1585057211,22654,0.511324108
1585057271,23087,0.516489446
1585057431,24253,0.526503503
1585057518,24886,0.504956961
1585057559,25186,0.498402089
1585057593,25419,0.519919753
1585057633,25719,0.502339303
1585057811,26985,0.50348866
1585057900,27618,0.486963362
1585057974,28151,0.505037606
1585057988,28251,0.516307056
1585058015,28451,0.481659472
1585058076,28884,0.492507756
1585058137,29317,0.484313101
1585058163,29517,0.498884499
1585058237,30050,0.494496375
1585058439,31516,0.477846742
1585058512,32049,0.485532939
1585058525,32149,0.48769626
1585058586,32582,0.463313729
1585058599,32682,0.489023924
1585058660,33115,0.467587531
1585058673,33215,0.470986456
1585058699,33415,0.461245298
1585058746,33748,0.456529677
1585058819,34281,0.461372852
1585058832,34381,0.478099078
1585058919,35014,0.469093233
1585058933,35114,0.473831862
1585058946,35214,0.473501742
1585058993,35547,0.467855781
1585059120,36480,0.468889236
1585059234,37313,0.449559987
1585059468,39012,0.449524701
1585059529,39445,0.456496924
1585059615,40078,0.454939157
1585059668,40478,0.442265272
1585059702,40711,0.449112386
1585059802,41444,0.444127589
1585059876,41977,0.461239398
1585059890,42077,0.439281374
1585060125,43776,0.442802936
1585060227,44509,0.434572399
1585060314,45142,0.432655454
1585060328,45242,0.435042828
1585060355,45442,0.431058675
1585060443,46075,0.432143867
1585060577,47041,0.423729658
1585060604,47241,0.435380906
1585060617,47341,0.435851455
1585060663,47674,0.423878193
1585060750,48307,0.433609515
1585060877,49240,0.439653844
1585060923,49573,0.423370749
1585060937,49673,0.434257001
1585061063,50606,0.422469616
1585061084,50739,0.423355162
1585061284,52205,0.430940419
1585061297,52305,0.421271712
1585061324,52505,0.419490486
1585061357,52738,0.415745437
1585061558,54204,0.418276429
1585061631,54737,0.414910764
1585061657,54937,0.417711645
1585061705,55270,0.41540131
1585061818,56103,0.414503843
1585061906,56736,0.420031607
1585061933,56936,0.413111717
1585061979,57269,0.417865068
1585062067,57902,0.417111129
1585062140,58435,0.420617759
1585062153,58535,0.409576684
1585062279,59468,0.417187244
1585062313,59701,0.421625882
1585062366,60101,0.40883106
1585062386,60234,0.415030539
1585062453,60734,0.418422878
1585062513,61167,0.411283404
1585062526,61267,0.406852424
1585062599,61800,0.420956105
1585062626,62000,0.395007342
1585062646,62133,0.418203533
1585062673,62333,0.407273263
1585062699,62533,0.412292749
1585062713,62633,0.416715682
1585062786,63166,0.413818479
1585062800,63266,0.412792563
1585062907,64032,0.410653502
1585062934,64232,0.422322571
1585063020,64865,0.414980322
1585063046,65065,0.410295218
1585063120,65598,0.412660867
1585063194,66131,0.41245541
1585063220,66331,0.422230303
1585063394,67597,0.414605707
1585063494,68330,0.426847875
1585063515,68463,0.41884765
1585063542,68663,0.41704604
1585063555,68763,0.425815046
1585063568,68863,0.418199688
1585063582,68963,0.407769352
1585063615,69196,0.432469398
1585063655,69496,0.420221329
1585063716,69929,0.405766308
1585063790,70462,0.422840625
1585063830,70762,0.427699178
1585063891,71195,0.4114649
1585063931,71495,0.429532796
1585063952,71628,0.417455673
1585063979,71828,0.426273197
1585063992,71928,0.417412728
1585064039,72261,0.429647803
1585064052,72361,0.413217962
1585064093,72661,0.429911673
1585064106,72761,0.424724281
1585064181,73294,0.432847708
1585064194,73394,0.424932063
1585064303,74160,0.426581264
1585064343,74460,0.438025326
1585064404,74893,0.422330886
1585064444,75193,0.42282176
1585064478,75426,0.441751689
1585064505,75626,0.452578664
1585064566,76059,0.429312438
1585064620,76459,0.418008357
1585064667,76792,0.428352743
1585064680,76892,0.45211032
1585064694,76992,0.428538829
1585064707,77092,0.425041616
1585064794,77725,0.419213355
1585064880,78358,0.445651531
1585064914,78591,0.426936895
1585064927,78691,0.422323465
1585064981,79091,0.452181429
1585065027,79424,0.437832683
1585065041,79524,0.433008909
1585065088,79857,0.435189039
1585065101,79957,0.439976096
1585065115,80057,0.434888363
1585065141,80257,0.440903485
1585065175,80490,0.434684724
1585065302,81423,0.444746643
1585065316,81523,0.418978184
1585065363,81856,0.425956368
1585065376,81956,0.430696726
1585065390,82056,0.412540019
1585065416,82256,0.441704243
1585065437,82389,0.434316665
1585065524,83022,0.419437766
1585065577,83422,0.42554459
1585065591,83522,0.423247337
1585065625,83755,0.460697889
1585065651,83955,0.411251813
1585065698,84288,0.421766937
1585065711,84388,0.406411082
1585065725,84488,0.421628356
1585065738,84588,0.420991689
1585065785,84921,0.450444013
1585065838,85321,0.416704237
1585065885,85654,0.412867039
1585065912,85854,0.419067085
1585065925,85954,0.410227239
1585065938,86054,0.419675738
1585066026,86687,0.416884035
1585066046,86820,0.4084723
1585066073,87020,0.416580856
1585066113,87320,0.418236524
1585066173,87753,0.432752043
1585066220,88086,0.424477369
1585066261,88386,0.425134331
1585066274,88486,0.431910932
1585066334,88919,0.397455782
1585066361,89119,0.410678506
1585066434,89652,0.389970422
1585066481,89985,0.401045233
1585066782,92184,0.392898828
1585066809,92384,0.395427376
1585066829,92517,0.402920902
1585066883,92917,0.398193389
1585066917,93150,0.388801247
1585066970,93550,0.392801046
1585067004,93783,0.388413221
1585067031,93983,0.40629679
1585067071,94283,0.406099975
1585067119,94616,0.39845255
1585067206,95249,0.39381659
1585067266,95682,0.381864816
1585067366,96415,0.375911087
1585067379,96515,0.375469983
1585067393,96615,0.380205601
1585067406,96715,0.382712156
1585067479,97248,0.398690641
1585067506,97448,0.365192294
1585067552,97781,0.379157782
1585067566,97881,0.37671715
1585067579,97981,0.386360586
1585067592,98081,0.381365359
1585067713,98947,0.381043613
1585067726,99047,0.385080874
1585067765,99347,0.370263785
1585067872,100113,0.372683704
1585067912,100413,0.377922893
1585068046,101379,0.358344406
1585068073,101579,0.373061597
1585068086,101679,0.370944381
1585068099,101779,0.375640988
1585068146,102112,0.368854642
1585068160,102212,0.364732891
1585068219,102645,0.358543813
1585068286,103145,0.358237922
1585068307,103278,0.361482829
1585068361,103678,0.357560903
1585068374,103778,0.36246717
1585068394,103911,0.365842283
1585068407,104011,0.362591296
1585068447,104311,0.358453661
1585068461,104411,0.360730588
1585068481,104544,0.370780945
1585068521,104844,0.361747473
1585068534,104944,0.35767591
1585068653,105810,0.358230531
1585068706,106210,0.343141526
1585068739,106443,0.35029918
1585068766,106643,0.352561057
1585068779,106743,0.346544892
1585068825,107076,0.339751065
1585068879,107476,0.352858216
1585068892,107576,0.345178783
1585068913,107709,0.347336888
1585068953,108009,0.336733848
1585069067,108842,0.343375742
1585069101,109075,0.344523728
1585069154,109475,0.346787483
1585069175,109608,0.344333559
1585069215,109908,0.346860677
1585069241,110108,0.350423992
1585069275,110341,0.33780396
1585069349,110874,0.342988402
1585069501,112007,0.346092135
1585069535,112240,0.344567508
1585069621,112873,0.337107003
1585069634,112973,0.341560602
1585069661,113173,0.330678791
1585069694,113406,0.340125799
1585069747,113806,0.333869636
1585069807,114239,0.342024148
1585069833,114439,0.32287249
1585069906,114972,0.339693487
1585069919,115072,0.333790749
1585069933,115172,0.331008166
1585070052,116038,0.3360039
1585070140,116671,0.329889119
1585070193,117071,0.331754118
1585070213,117204,0.328646541
1585070227,117304,0.338039547
1585070353,118237,0.325126797
1585070386,118470,0.328741461
1585070427,118770,0.324233174
1585070513,119403,0.32581529
1585070527,119503,0.336287111
1585070627,120236,0.334385365
1585070660,120469,0.329779744
1585070860,121935,0.319370598
1585070947,122568,0.328441888
1585070960,122668,0.331558853
1585070974,122768,0.333493412
1585071020,123101,0.326423645
1585071034,123201,0.330725759
1585071047,123301,0.329332113
1585071307,125200,0.328116149
1585071354,125533,0.326878369
1585071381,125733,0.327324688
1585071480,126466,0.321932375
1585071494,126566,0.330576152
1585071555,126999,0.318870246
1585071581,127199,0.331245661
1585071615,127432,0.325447738
1585071689,127965,0.32849434
1585071716,128165,0.325594038
1585071743,128365,0.330524862
1585071803,128798,0.326756209
1585071951,129864,0.330705494
1585072004,130264,0.331575602
1585072065,130697,0.328579664
1585072078,130797,0.318858445
1585072091,130897,0.339031637
1585072124,131130,0.338784516
1585072165,131430,0.324266076
1585072212,131763,0.326964378
1585072239,131963,0.330112129
1585072279,132263,0.324556261
1585072365,132896,0.334330142
1585072398,133129,0.328321934
1585072425,133329,0.330770284
1585072439,133429,0.337199748
