Wall time,Step,Value
1585054255,1232,45.84585571
1585054406,2298,16.94324875
1585054454,2631,13.09198284
1585054542,3264,8.241926193
1585054721,4530,3.634621382
1585054775,4930,2.856156349
1585054809,5163,2.515359163
1585054835,5363,2.262871027
1585054849,5463,2.142675161
1585054876,5663,1.935197353
1585054963,6296,1.404325604
1585054984,6429,1.325916529
1585054997,6529,1.273355484
1585055010,6629,1.212571383
1585055137,7562,0.826676905
1585055224,8195,0.672662616
1585055245,8328,0.645637631
1585055258,8428,0.621905565
1585055272,8528,0.609586835
1585055346,9061,0.520658016
1585055460,9894,0.432356626
1585055561,10627,0.364580661
1585055681,11493,0.311513513
1585055720,11793,0.298413306
1585055734,11893,0.290610254
1585055834,12626,0.261505485
1585055907,13159,0.240491375
1585056028,14025,0.215860665
1585056068,14325,0.2083693
1585056081,14425,0.207205802
1585056215,15391,0.186013862
1585056242,15591,0.180540606
1585056255,15691,0.178861022
1585056375,16557,0.165814072
1585056442,17057,0.157699883
1585056476,17290,0.154895246
1585056489,17390,0.152096599
1585056548,17823,0.148936063
1585056615,18323,0.142264247
1585056635,18456,0.140855849
1585056675,18756,0.13754943
1585056762,19389,0.133034155
1585056776,19489,0.130590737
1585056809,19722,0.128671676
1585056850,20022,0.126031861
1585056877,20222,0.126038432
1585056897,20355,0.123707868
1585056951,20755,0.121465161
1585056964,20855,0.120202117
1585057071,21621,0.115470581
1585057185,22454,0.111807421
1585057198,22554,0.110280588
1585057211,22654,0.109191142
1585057271,23087,0.107400887
1585057431,24253,0.10131298
1585057518,24886,0.098321572
1585057559,25186,0.098355599
1585057593,25419,0.096906409
1585057633,25719,0.096548475
1585057811,26985,0.091326453
1585057900,27618,0.089801617
1585057974,28151,0.088899322
1585057988,28251,0.088571467
1585058015,28451,0.087217972
1585058076,28884,0.085613616
1585058137,29317,0.08475519
1585058163,29517,0.083785027
1585058237,30050,0.083210327
1585058439,31516,0.080962345
1585058512,32049,0.079179652
1585058525,32149,0.079050288
1585058586,32582,0.077796891
1585058599,32682,0.078297727
1585058660,33115,0.076651834
1585058673,33215,0.076955147
1585058699,33415,0.076695092
1585058746,33748,0.076159626
1585058819,34281,0.074820608
1585058832,34381,0.075072862
1585058919,35014,0.074148826
1585058933,35114,0.073458366
1585058946,35214,0.073246732
1585058993,35547,0.072851144
1585059120,36480,0.071657851
1585059234,37313,0.070776843
1585059468,39012,0.068461403
1585059529,39445,0.068601266
1585059615,40078,0.067396566
1585059668,40478,0.067171618
1585059702,40711,0.067231819
1585059802,41444,0.066747151
1585059876,41977,0.066102512
1585059890,42077,0.065353602
1585060125,43776,0.064349845
1585060227,44509,0.06389007
1585060314,45142,0.063522652
1585060328,45242,0.063613296
1585060355,45442,0.063569225
1585060443,46075,0.062853888
1585060577,47041,0.062248752
1585060604,47241,0.062242098
1585060617,47341,0.062299013
1585060663,47674,0.062584065
1585060750,48307,0.062007945
1585060877,49240,0.06171817
1585060923,49573,0.061551299
1585060937,49673,0.061363451
1585061063,50606,0.06148224
1585061084,50739,0.061485913
1585061284,52205,0.060566414
1585061297,52305,0.060585629
1585061324,52505,0.060521185
1585061357,52738,0.060376883
1585061558,54204,0.059992902
1585061631,54737,0.060014885
1585061657,54937,0.059610553
1585061705,55270,0.059877828
1585061818,56103,0.05933759
1585061906,56736,0.059748325
1585061933,56936,0.059283387
1585061979,57269,0.059536889
1585062067,57902,0.059417419
1585062140,58435,0.059633605
1585062153,58535,0.059066199
1585062279,59468,0.058825742
1585062313,59701,0.058903813
1585062366,60101,0.058671623
1585062386,60234,0.05941999
1585062453,60734,0.05915691
1585062513,61167,0.059142821
1585062526,61267,0.059115816
1585062599,61800,0.059059966
1585062626,62000,0.058969758
1585062646,62133,0.058824196
1585062673,62333,0.058545299
1585062699,62533,0.059315607
1585062713,62633,0.059393246
1585062786,63166,0.059040383
1585062800,63266,0.058743294
1585062907,64032,0.059228517
1585062934,64232,0.059354007
1585063020,64865,0.059707168
1585063046,65065,0.059223194
1585063120,65598,0.059839245
1585063194,66131,0.060013197
1585063220,66331,0.059915777
1585063394,67597,0.060496762
1585063494,68330,0.060373064
1585063515,68463,0.060735207
1585063542,68663,0.060577739
1585063555,68763,0.060653962
1585063568,68863,0.060450707
1585063582,68963,0.060399473
1585063615,69196,0.060583692
1585063655,69496,0.061053589
1585063716,69929,0.060951531
1585063790,70462,0.060780704
1585063830,70762,0.060066722
1585063891,71195,0.060510494
1585063931,71495,0.061215483
1585063952,71628,0.060665414
1585063979,71828,0.060464785
1585063992,71928,0.060702544
1585064039,72261,0.060432699
1585064052,72361,0.060757548
1585064093,72661,0.060936283
1585064106,72761,0.060526371
1585064181,73294,0.06088116
1585064194,73394,0.060412094
1585064303,74160,0.060283318
1585064343,74460,0.060412057
1585064404,74893,0.060396876
1585064444,75193,0.060704786
1585064478,75426,0.060309775
1585064505,75626,0.059879005
1585064566,76059,0.060376275
1585064620,76459,0.059623834
1585064667,76792,0.059503831
1585064680,76892,0.060197774
1585064694,76992,0.059524011
1585064707,77092,0.059885889
1585064794,77725,0.059216641
1585064880,78358,0.059267011
1585064914,78591,0.058810767
1585064927,78691,0.058400892
1585064981,79091,0.059165262
1585065027,79424,0.058637314
1585065041,79524,0.058779787
1585065088,79857,0.058580238
1585065101,79957,0.058161743
1585065115,80057,0.057920177
1585065141,80257,0.057957765
1585065175,80490,0.057354826
1585065302,81423,0.057460528
1585065316,81523,0.057375841
1585065363,81856,0.057009365
1585065376,81956,0.056822818
1585065390,82056,0.05667131
1585065416,82256,0.056241184
1585065437,82389,0.056591608
1585065524,83022,0.055987779
1585065577,83422,0.05587136
1585065591,83522,0.055229746
1585065625,83755,0.055403132
1585065651,83955,0.055220805
