Wall time,Step,Value
1585054255,1232,1.09666276
1585054406,2298,0.688062429
1585054454,2631,0.528573215
1585054542,3264,0.346793145
1585054721,4530,0.199136049
1585054775,4930,0.177387133
1585054809,5163,0.166940898
1585054835,5363,0.16036889
1585054849,5463,0.157691121
1585054876,5663,0.151222154
1585054963,6296,0.137308165
1585054984,6429,0.135865286
1585054997,6529,0.134559169
1585055010,6629,0.132491186
1585055137,7562,0.122431725
1585055224,8195,0.117968753
1585055245,8328,0.117765635
1585055258,8428,0.117025703
1585055272,8528,0.115833551
1585055346,9061,0.113124497
1585055460,9894,0.110405996
1585055561,10627,0.107520051
1585055681,11493,0.106207795
1585055720,11793,0.105342261
1585055734,11893,0.104611807
1585055834,12626,0.103209607
1585055907,13159,0.102650553
1585056028,14025,0.101554297
1585056068,14325,0.100620858
1585056081,14425,0.099699475
1585056215,15391,0.098822638
1585056242,15591,0.098641232
1585056255,15691,0.098765582
1585056375,16557,0.097495295
1585056442,17057,0.097203553
1585056476,17290,0.096421875
1585056489,17390,0.096984655
1585056548,17823,0.096361585
1585056615,18323,0.095064685
1585056635,18456,0.095099628
1585056675,18756,0.094809331
1585056762,19389,0.094140537
1585056776,19489,0.093794659
1585056809,19722,0.093656421
1585056850,20022,0.093210854
1585056877,20222,0.093153246
1585056897,20355,0.093512796
1585056951,20755,0.092411049
1585056964,20855,0.092852056
1585057071,21621,0.092149191
1585057185,22454,0.091527738
1585057198,22554,0.091816992
1585057211,22654,0.091504596
1585057271,23087,0.090993866
1585057431,24253,0.089632742
1585057518,24886,0.08949963
1585057559,25186,0.089457072
1585057593,25419,0.089432038
1585057633,25719,0.088684805
1585057811,26985,0.087915272
1585057900,27618,0.087186716
1585057974,28151,0.087207615
1585057988,28251,0.086967297
1585058015,28451,0.086841591
1585058076,28884,0.085699365
1585058137,29317,0.085440569
1585058163,29517,0.084968917
1585058237,30050,0.084531479
1585058439,31516,0.083121769
1585058512,32049,0.081701145
1585058525,32149,0.082032047
1585058586,32582,0.08154849
1585058599,32682,0.080844186
1585058660,33115,0.080427326
1585058673,33215,0.079732127
1585058699,33415,0.080233909
1585058746,33748,0.078991942
1585058819,34281,0.079168275
1585058832,34381,0.077755414
1585058919,35014,0.077637583
1585058933,35114,0.07685896
1585058946,35214,0.077397749
1585058993,35547,0.077065736
1585059120,36480,0.075728774
1585059234,37313,0.075259797
1585059468,39012,0.074015372
1585059529,39445,0.074138582
1585059615,40078,0.073620334
1585059668,40478,0.073612124
1585059702,40711,0.073944643
1585059802,41444,0.0733051
1585059876,41977,0.073560253
1585059890,42077,0.073650382
1585060125,43776,0.072152704
1585060227,44509,0.072649188
1585060314,45142,0.072330207
1585060328,45242,0.072167166
1585060355,45442,0.072858557
1585060443,46075,0.072343662
1585060577,47041,0.071951739
1585060604,47241,0.072347321
1585060617,47341,0.071891904
1585060663,47674,0.072372012
1585060750,48307,0.071689919
1585060877,49240,0.071778856
1585060923,49573,0.071595222
1585060937,49673,0.072197534
1585061063,50606,0.071710125
1585061084,50739,0.072163738
1585061284,52205,0.071629778
1585061297,52305,0.072050132
1585061324,52505,0.071544424
1585061357,52738,0.071787685
1585061558,54204,0.071162358
1585061631,54737,0.071971171
1585061657,54937,0.071822979
1585061705,55270,0.071359426
1585061818,56103,0.072141498
1585061906,56736,0.071553797
1585061933,56936,0.072104663
1585061979,57269,0.071896926
1585062067,57902,0.071675085
1585062140,58435,0.072105505
1585062153,58535,0.071449094
1585062279,59468,0.071542673
1585062313,59701,0.07130833
1585062366,60101,0.071702644
1585062386,60234,0.071577996
1585062453,60734,0.071475349
1585062513,61167,0.07173343
1585062526,61267,0.071324088
1585062599,61800,0.071801595
1585062626,62000,0.071691602
1585062646,62133,0.071997628
1585062673,62333,0.071629629
1585062699,62533,0.071145751
1585062713,62633,0.071293026
1585062786,63166,0.071224414
1585062800,63266,0.07166566
1585062907,64032,0.071573742
1585062934,64232,0.071968727
1585063020,64865,0.071223125
1585063046,65065,0.071655706
1585063120,65598,0.071442962
1585063194,66131,0.071071893
1585063220,66331,0.071299203
1585063394,67597,0.070915557
1585063494,68330,0.071180783
1585063515,68463,0.071370229
1585063542,68663,0.071748719
1585063555,68763,0.071744457
1585063568,68863,0.07119602
1585063582,68963,0.071085475
1585063615,69196,0.071738124
1585063655,69496,0.070792653
1585063716,69929,0.071033925
1585063790,70462,0.071308501
1585063830,70762,0.071044363
1585063891,71195,0.070825323
1585063931,71495,0.071145453
1585063952,71628,0.070918724
1585063979,71828,0.070897028
1585063992,71928,0.071347967
1585064039,72261,0.070905373
1585064052,72361,0.070830621
1585064093,72661,0.071118787
1585064106,72761,0.071587592
1585064181,73294,0.070850104
1585064194,73394,0.070904173
